"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","2391","1504","-","1202","40"
"2","A","2098","1933","22.19%","1521","6"
"3","B","2131","1883","20.13%","1488","8"
"4","C","1844","1628","7.62%","1272","4"
"5","E","2104","1904","21.01%","1506","6"
"6","F","2216","1871","19.62%","1424","8"
"7","G","2167","1797","16.3%","1383","5"
"8","H","2212","1916","21.5%","1503","3"
