"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3215","2300","-","1456","40"
"2","A","2828","2586","11.06%","1613","6"
"3","B","3085","2798","17.8%","1726","8"
"4","C","2762","2423","5.08%","1513","4"
"5","E","2965","2511","8.4%","1579","6"
"6","F","3033","2645","13.04%","1625","8"
"7","G","2423","2300","0%","1456","5"
"8","H","2872","2791","17.59%","1710","3"
