"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3117","2044","-","1469","40"
"2","A","2902","2627","22.19%","1791","6"
"3","B","3001","2324","12.05%","1624","8"
"4","C","2599","2249","9.12%","1587","4"
"5","E","2821","2343","12.76%","1617","6"
"6","F","2806","2449","16.54%","1717","8"
"7","G","2874","2338","12.57%","1613","5"
"8","H","2638","2337","12.54%","1627","3"
