"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3387","1658","-","1251","40"
"2","A","2889","2178","23.88%","1561","6"
"3","B","3061","1862","10.96%","1329","8"
"4","C","2622","1686","1.66%","1264","4"
"5","E","3288","2088","20.59%","1518","6"
"6","F","3060","2142","22.6%","1541","8"
"7","G","3069","2281","27.31%","1563","5"
"8","H","2965","2747","39.64%","1846","3"
