"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3675","2326","-","1661","40"
"2","A","3400","3021","23.01%","2075","6"
"3","B","3475","2589","10.16%","1793","8"
"4","C","3280","2778","16.27%","1993","4"
"5","E","3426","2851","18.41%","1987","6"
"6","F","3435","2828","17.75%","1940","8"
"7","G","3358","3055","23.86%","2088","5"
"8","H","3321","2898","19.74%","1992","3"
