"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3230","1903","-","1570","40"
"2","A","3006","2795","31.91%","2194","6"
"3","B","3101","2251","15.46%","1812","8"
"4","C","2807","2226","14.51%","1756","4"
"5","E","2911","2204","13.66%","1783","6"
"6","F","2824","2145","11.28%","1762","8"
"7","G","2950","2259","15.76%","1827","5"
"8","H","2870","2378","19.97%","1921","3"
