"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3284","2044","-","1406","40"
"2","A","3073","2652","22.93%","1752","6"
"3","B","3113","2348","12.95%","1526","8"
"4","C","2990","2461","16.94%","1577","4"
"5","E","3046","2596","21.26%","1680","6"
"6","F","3047","2407","15.08%","1663","8"
"7","G","3170","2649","22.84%","1737","5"
"8","H","2928","2464","17.05%","1604","3"
