"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3245","1852","-","1501","40"
"2","A","2891","2399","22.8%","1948","6"
"3","B","2961","2157","14.14%","1765","8"
"4","C","2779","2059","10.05%","1636","4"
"5","E","2743","2102","11.89%","1715","6"
"6","F","2931","1987","6.79%","1624","8"
"7","G","2795","2199","15.78%","1762","5"
"8","H","2761","2266","18.27%","1816","3"
