"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3902","2053","-","1341","40"
"2","A","3216","2616","21.52%","1680","6"
"3","B","3438","2630","21.94%","1654","8"
"4","C","3319","2807","26.86%","1860","4"
"5","E","3450","2552","19.55%","1643","6"
"6","F","3606","2601","21.07%","1657","8"
"7","G","3301","2969","30.85%","1925","5"
"8","H","3417","2882","28.76%","1894","3"
