"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3243","2009","-","1403","40"
"2","A","2915","2343","14.26%","1565","6"
"3","B","2869","2413","16.74%","1608","8"
"4","C","2794","2324","13.55%","1565","4"
"5","E","3091","2474","18.8%","1657","6"
"6","F","3090","2450","18%","1624","8"
"7","G","2759","2373","15.34%","1590","5"
"8","H","2905","2781","27.76%","1833","3"
