"","Sample","Total KOs","Core KOs","% Sample-specific Core KOs","Core reactions","Replicates"
"1","All","3143","2013","-","1430","40"
"2","A","2632","2230","9.73%","1526","6"
"3","B","2714","2137","5.8%","1502","8"
"4","C","2664","2157","6.68%","1485","4"
"5","E","3004","2360","14.7%","1598","6"
"6","F","2685","2307","12.74%","1558","8"
"7","G","2626","2243","10.25%","1566","5"
"8","H","2638","2510","19.8%","1702","3"
